노선정보그룹,노선정보설명,전체노선길이,회차지순번,출발정류장,도착정류장,데이터 기준일
288002262,981번_상행_0310,24419,104,288010138,285010125,2025-09-01
288002263,982번_상행_0310,28405,121,288010138,285010125,2025-09-01
288002274,33번_상행_0507,10340,44,288010695,288010171,2025-09-01
288002275,33번_하행_0507,7325,33,288000527,288010694,2025-09-01
288002290,990번_하행_,29659,172,285000686,288010664,2025-09-01
288002291,810번_상행_,19855,106,288010726,288001632,2025-09-01
288002292,820번_상행_,17029,93,288010726,288001632,2025-09-01
288002293,821번_상행_,21801,108,288010726,288001632,2025-09-01
288002294,900번_상행_,19109,105,288010726,285010125,2025-09-01
288002295,910번_상행_,20458,148,288010726,285010125,2025-09-01
288002296,990번_상행_,30264,164,288010663,285010125,2025-09-01
288002297,991번_상행_,22992,121,288010663,288002022,2025-09-01
288002298,501번_하행_산전리미경유,33435,131,214015723,288010624,2025-09-01
288002299,502번_하행_산전리미경유,23496,84,288001156,288010624,2025-09-01
288002300,120번_하행_유구읍,33777,145,288000327,288010624,2025-09-01
288002313,990번_상행_0710,30032,163,288010663,285010125,2025-09-01
288002314,990번_하행_0710,29675,173,285000686,288010664,2025-09-01
288002315,991번_상행_0710,22692,120,288010663,288002022,2025-09-01
288002316,991번_하행_0710,20778,119,288002022,288010664,2025-09-01
288002317,순환5번_상행_0710,17046,74,288001673,288002219,2025-09-01
288002318,53번_하행_0710,20864,58,288001156,288001979,2025-09-01
288002319,53-1번_하행_0710,21530,58,288001156,288001979,2025-09-01
288002320,53-2번_하행_0710,14734,52,288001156,288000635,2025-09-01
288002321,63번_하행_0710,29951,105,288001155,288010624,2025-09-01
288002322,63-1번_상행_0710,29307,105,288000715,288001155,2025-09-01
288002323,63-2번_하행_0710,26320,102,288001156,288010624,2025-09-01
288002324,63-3번_하행_0710,26686,97,288000715,288001155,2025-09-01
288002326,810번_상행_이내삼거리,19855,105,288010726,288001632,2025-09-01
288002327,810번_하행_이내삼거리,19796,102,288001673,288010624,2025-09-01
288002343,990번_상행_신규,30032,163,288010663,285010125,2025-09-01
288002351,순환5_상행,17046,74,288001673,288002219,2025-09-01
288002352,503_상행_,32767,121,288010385,288010515,2025-09-01
288002353,503_하행_,32561,121,288010516,288010483,2025-09-01
288002354,520_상행_,12703,72,288010658,214015723,2025-09-01
288002355,520_하행_,12981,75,214015723,288010659,2025-09-01
288002356,521_상행_,16451,85,288010699,214015723,2025-09-01
288002357,521_하행_,16779,88,214015723,288010703,2025-09-01
288002358,57_상행_,7749,35,288001155,288010657,2025-09-01
288002359,57_하행_,7593,33,288010671,288001156,2025-09-01
288002393,730번_상행,23155,103,288000489,288001615,2025-09-01
288002394,730번_하행,23845,105,288001616,288000498,2025-09-01
288002395,731번_상행,26506,108,288000489,288001615,2025-09-01
288002396,731번_하행,22444,100,288001616,288000498,2025-09-01
288002397,980번_상행,30244,136,288010726,285010125,2025-09-01
288002398,980번_하행,30263,139,285000686,288010624,2025-09-01
288002399,981번_상행,24342,102,288010138,285010125,2025-09-01
288002400,981번_하행,24716,107,285000686,288000800,2025-09-01
288002401,982번_상행,28328,119,288010138,285010125,2025-09-01
288002402,982번_하행,28732,123,285000686,288000800,2025-09-01
288002410,730번_상행,23155,104,288000489,288001615,2025-09-01
288002411,731번_상행,26506,109,288000489,288001615,2025-09-01
288002412,980번_상행,30244,137,288010726,285010125,2025-09-01
288002453,614번_상행,38335,138,288000448,288001588,2025-09-01
288002489,340번_하행,9436,57,288000596,288010726,2025-09-01
288002491,900번_상행,19435,108,288010726,285010125,2025-09-01
288002492,900번_하행,20637,107,285000686,288010624,2025-09-01
288002493,910번_상행,20777,148,288010726,285010125,2025-09-01
288002494,910번_하행,20904,125,285000686,288010624,2025-09-01
288002495,990번_상행,30035,165,288010663,285010125,2025-09-01
288002496,990번_하행,30078,178,285000687,288010664,2025-09-01
288002497,991번_상행,20885,116,288010663,285071625,2025-09-01
288002498,991번_하행,21297,124,288002022,288010664,2025-09-01
288002499,순환5번_상행,19011,82,288001673,288002219,2025-09-01
288002500,순환5번_하행,19449,87,288002219,288001632,2025-09-01
288002593,777번_하행,23782,85,288010739,288001054,2025-09-01
288002595,777번_하행,23782,85,288010739,288001054,2025-09-01
288002612,810번_하행,19796,103,288001673,288010624,2025-09-01
288002598,777번_하행,23704,85,288010739,288001054,2025-09-01
288002613,16번_상행,23952,88,288010726,288010445,2025-09-01
288002614,180829_16하_정류장추가,24071,85,288010445,288010624,2025-09-01
288002616,101번_하행,15388,107,288000354,288000498,2025-09-01
288002627,18번_상행_1109,22070,88,288010726,288010603,2025-09-01
288002628,18번_하행_1109,23047,88,288010793,288010624,2025-09-01
288002636,101번_하행,15388,107,288000354,288000498,2025-09-01
288002645,17-1번_상행,19669,73,288010726,288010445,2025-09-01
288002680,,40405,82,288001947,288010639,2025-09-01
288002685,0813_351번상_0813 노선개편,11387,54,288010167,288010059,2025-09-01
288002696,70번_하행,27378,64,288001616,288001560,2025-09-01
288002700,41-1번_상행,22576,113,288010726,288010323,2025-09-01
288002706,352번_하행_1106,18757,77,288000390,288010168,2025-09-01
288002707,0813_350번상_0813 노선개편,17597,67,288010167,288000391,2025-09-01
288002708,,45380,152,288001438,214015723,2025-09-01
288002085,503번_하행_0716,31486,120,288010516,288010483,2025-09-01
288002086,503번_상행_0716,31728,121,288010385,288010515,2025-09-01
288002087,981번_상행_0716,23045,101,288010138,285010125,2025-09-01
288002088,982번_상행_0716,27039,117,288010138,285010125,2025-09-01
288002198,17-2번_상행,25885,17,288010726,288010445,2025-09-01
288002227,800번_하행_갈매리추가,10688,45,288000960,288001632,2025-09-01
288002228,800번_상행_갈매리추가,10726,43,288001673,288000964,2025-09-01
288002229,820번_하행_갈매리추가,17374,93,288001673,288010624,2025-09-01
288002230,820번_상행_갈매리추가,17521,91,288010726,288001632,2025-09-01
288002264,230번_하행_0326일,15069,48,288001994,285000095,2025-09-01
288002268,46번_상행_0420,22469,116,288010726,288010400,2025-09-01
288002276,340번_하행_0513,9683,58,288000596,288010624,2025-09-01
288002281,120번_상행_0527,34262,153,288010726,288000326,2025-09-01
288002282,120번_하행_0601자,33557,143,288000327,288010624,2025-09-01
288002301,200번_하행_0710,14237,54,288001438,288001155,2025-09-01
288002302,201번_하행_0710,14941,64,288001438,288001155,2025-09-01
288002303,503번_하행_0710,32562,121,288010516,288010483,2025-09-01
288002304,520번_상행_0710,12704,72,288010658,214015723,2025-09-01
288002305,521번_상행_0710,16452,85,288010699,214015723,2025-09-01
288002306,57번_상행_0710,7750,35,288001155,288010657,2025-09-01
288002307,200번_상행_0710,14315,58,288001156,288001438,2025-09-01
288002308,201번_상행_0710,15026,60,288001156,288001438,2025-09-01
288002309,503번_상행_0710,32767,121,288010385,288010515,2025-09-01
288002310,520번_하행_0710,12981,75,214015723,288010659,2025-09-01
288002311,521번_하행_0710,16779,88,214015723,288010703,2025-09-01
288002312,57번_하행_0710,7593,33,288010671,288001156,2025-09-01
288002341,612번_상행_0731,28331,96,288001545,288001588,2025-09-01
288002416,19번_상행,26288,95,288010726,288010603,2025-09-01
288002417,19번_하행,27487,112,288010793,288010624,2025-09-01
288002418,20-1번_하행,20785,89,288010793,288010624,2025-09-01
288002419,30번_상행,8111,30,288010171,288001942,2025-09-01
288002420,42-2번_하행_신규노선,12839,60,288010066,288010400,2025-09-01
288002421,60번_상행,20152,74,288010726,288000275,2025-09-01
288002441,990번_하행,30103,176,285000687,288010664,2025-09-01
288002471,650번_하행,14172,62,288010547,288000498,2025-09-01
288002473,101번_상행,15265,85,288000489,288000357,2025-09-01
288002474,170번_상행,11221,62,288000489,288000906,2025-09-01
288002475,171번_상행,14614,77,288000489,288000914,2025-09-01
288002476,101번_하행,15019,105,288000354,288000498,2025-09-01
288002477,170번_하행,10837,80,288000894,288000498,2025-09-01
288002478,171번_하행,12714,89,288000859,288000498,2025-09-01
288002479,172번_상행,15945,99,288000489,288001637,2025-09-01
288002480,172번_하행,14379,94,288000915,288000498,2025-09-01
288002481,990번_상행,30097,163,288010663,285010125,2025-09-01
288002482,991번_상행,22757,120,288010663,288002022,2025-09-01
288002483,530번_상행_20210521,2967,18,288010658,288001155,2025-09-01
288002484,530번_하행_20210521,3981,25,288001155,288010659,2025-09-01
288002550,303번_상행_0619,19536,95,288010170,288000752,2025-09-01
288002566,180808_701상 링크수정,26295,103,288000489,288010009,2025-09-01
288002567,180808_701상 링크수정,27448,115,288000489,288010009,2025-09-01
288002574,57_상행_,7882,36,288001155,288010657,2025-09-01
288002575,520_상행_,12836,73,288010658,214015723,2025-09-01
288002576,200번_하행,14369,55,288001438,288001155,2025-09-01
288002577,201번_하행,15073,65,288001438,288001155,2025-09-01
288002578,201번_하행,15073,65,288001438,288001155,2025-09-01
288002579,503_하행_,32694,122,288010516,288010483,2025-09-01
288002584,57_상행_,8121,36,288001155,288010657,2025-09-01
288002587,200번_하행,14608,55,288001438,288001155,2025-09-01
288002589,503_하행_,32933,122,288010516,288010483,2025-09-01
288002591,777번_상행_test,23330,87,288001074,288010740,2025-09-01
288002592,777번_하행,23782,85,288010739,288001054,2025-09-01
288002601,180808_701상 링크수정,25682,109,288000489,288010009,2025-09-01
288002599,990번_상행,30087,168,288010663,285010125,2025-09-01
288002602,08114_700하_0817 노선개편,25550,147,288010009,288000498,2025-09-01
288002605,180808_702싱 링크수정,26655,110,288000489,288010009,2025-09-01
288002606,08114_702하_0817 노선개편,26467,149,288010009,288000498,2025-09-01
288002632,19번_하행,27856,114,288010793,288010624,2025-09-01
288002639,17번_상행_1031,24539,104,288010726,288010445,2025-09-01
288002640,180829_17하_정류장추가,25177,91,288010445,288010624,2025-09-01
288002642,16-1_하행_1109자,27771,93,288010445,288010624,2025-09-01
288002643,17-2번_상행,26541,107,288010726,288010445,2025-09-01
288002644,17-2번_하행,27002,94,288010445,288010624,2025-09-01
288002650,20-1번_하행,23742,100,288010793,288010624,2025-09-01
288002660,530번_상행,40553,129,288001438,214015723,2025-09-01
288002684,0813_351번상_0813 노선개편,11387,54,288010167,288010059,2025-09-01
288002687,350번_하행_1106,21462,70,288010070,288010168,2025-09-01
288002691,순환5_하행,20361,95,288002022,288001632,2025-09-01
288002692,80번_상행,12984,66,288010740,288001495,2025-09-01
288002694,86번_상행,7755,40,288010672,288010741,2025-09-01
288002697,,27848,69,288000828,285010152,2025-09-01
288002704,0328_58 신휴3리정류장제거,14145,52,288001014,288001155,2025-09-01
288002705,0328_58 신휴3리정류장제거,14145,52,288001014,288001155,2025-09-01
288002719,62-1번_하행,26817,101,288000828,288000761,2025-09-01
288002720,971번_상행,36359,176,288000489,285010125,2025-09-01
288002721,971번_상행,36359,170,288000489,285010125,2025-09-01
288002723,,27848,69,288000828,285010152,2025-09-01
288002776,33번_상행,10933,54,288010547,288001458,2025-09-01
288002788,810번_상행,32305,107,288010726,288001632,2025-09-01
288002790,순환5번_상행_0313,21744,65,288001673,288010797,2025-09-01
288002795,991번_하행,21549,125,288002022,288010664,2025-09-01
288002796,120번_하행_유구읍,34050,146,288000327,288010624,2025-09-01
288002797,810번_하행,28775,106,288001673,288010624,2025-09-01
288002798,820번_하행,17032,91,288001673,288010624,2025-09-01
288002804,80번_상행,16172,66,288010740,288001495,2025-09-01
288002811,,24045,76,288010797,288001632,2025-09-01
288002814,991번_상행,21487,120,288010663,285071625,2025-09-01
288002815,990번_상행,30704,171,288010663,285010125,2025-09-01
288002840,63-1번_상행,30006,109,288010726,288001155,2025-09-01
288002842,63-1번_상행,30006,109,288010726,288001155,2025-09-01
288002847,777번_하행,26075,87,288010739,288001054,2025-09-01
288002849,08114_701하_0817 노선개편,29976,154,288010009,288000498,2025-09-01
288002850,08114_702하_0817 노선개편,28894,150,288010009,288000498,2025-09-01
288002851,777번_하행,25364,88,288010739,288001054,2025-09-01
288002852,08114_700하_0817 노선개편,27967,148,288010009,288000498,2025-09-01
288002855,,34381,111,288010854,285001088,2025-09-01
288002089,18-2번_상행_24일자개편,31670,121,288010726,288010196,2025-09-01
288002193,779번_하행,18525,79,288001547,288001603,2025-09-01
288002194,41-1번_상행,19646,95,288010726,288010323,2025-09-01
288002195,42-1번_상행,27016,17,288010726,288000075,2025-09-01
288002226,990번_하행_마디손병원추가,29932,40,285000686,288010664,2025-09-01
288002249,821번_상행,21801,106,288010726,288001632,2025-09-01
288002254,990번_상행_0303,30266,162,288010663,285010125,2025-09-01
288002255,990번_하행_0303,29727,171,285000686,288010664,2025-09-01
288002256,980번_상행_0309,30506,138,288010726,285010125,2025-09-01
288002266,600번_상행_0413일자,35768,113,288001472,288000013,2025-09-01
288002267,600번_하행_0413일자,36213,118,288001980,288001473,2025-09-01
288002270,320번_상행_0501일자,26807,135,288010167,288010206,2025-09-01
288002271,320번_하행_0501일자,26610,134,288010205,288010168,2025-09-01
288002347,200번_상행,14315,58,288001156,288001438,2025-09-01
288002360,1번_상행_,7471,46,288010039,288000752,2025-09-01
288002361,60번_상행_,19936,71,288000715,288000275,2025-09-01
288002362,62번_상행_,27149,99,288000715,288000829,2025-09-01
288002363,63번_상행_,28616,100,288000715,288001155,2025-09-01
288002364,63-1_상행_,29307,106,288000715,288001155,2025-09-01
288002365,63-2_상행_,26023,96,288000715,288001155,2025-09-01
288002366,63-3_상행_,26686,98,288000715,288001155,2025-09-01
288002367,64_상행_,27871,111,288000715,288001155,2025-09-01
288002368,64-1_상행_,29068,107,288000715,288001155,2025-09-01
288002369,65_상행_,22931,83,288000715,288000829,2025-09-01
288002380,80번_상행,12890,63,288010740,288001495,2025-09-01
288002381,80번_하행,13205,62,288000931,288010739,2025-09-01
288002382,81번_상행,11157,61,288010740,288010741,2025-09-01
288002383,81번_하행,12149,67,288010741,288010739,2025-09-01
288002384,821번_상행,22504,109,288010726,288001632,2025-09-01
288002385,821번_하행,22367,110,288001673,288010624,2025-09-01
288002386,86번_상행,8079,42,288010672,288010741,2025-09-01
288002387,900번_상행,19500,105,288010726,285010125,2025-09-01
288002388,900번_하행,20662,105,285000686,288010624,2025-09-01
288002389,910번_상행,21031,149,288010726,285010125,2025-09-01
288002390,910번_하행,20929,123,285000686,288010624,2025-09-01
288002391,990번_상행,30641,166,288010663,285010125,2025-09-01
288002392,990번_하행,30219,176,285000686,288010664,2025-09-01
288002437,17-1번_상행,19013,71,288010726,288010445,2025-09-01
288002438,17-1번_하행,19481,79,288010445,288010624,2025-09-01
288002457,30번_상행,9815,42,288010695,288010171,2025-09-01
288002529,87번_상행,3529,23,288010740,288010660,2025-09-01
288002530,87번_하행,3568,21,288010672,288010739,2025-09-01
288002543,08114_700하_0817 노선개편,26572,144,288010009,288000498,2025-09-01
288002545,08114_700하_0817 노선개편,27044,144,288010009,288000498,2025-09-01
288002549,303번_상행_0619,19536,95,288010170,288000752,2025-09-01
288002569,180808_702싱 링크수정,26626,109,288000489,288010009,2025-09-01
288002570,08114_702하_0817 노선개편,26207,148,288010009,288000498,2025-09-01
288002580,503_하행_,32694,122,288010516,288010483,2025-09-01
288002590,777번_상행_test,23330,87,288001074,288010740,2025-09-01
288002594,777번_하행,23782,85,288010739,288001054,2025-09-01
288002600,990번_상행,29737,167,288010663,285010125,2025-09-01
288002607,,13336,31,288000931,288010020,2025-09-01
288002615,101번_상행,15955,86,288000489,288000357,2025-09-01
288002619,17번_상행_1031,24561,104,288010726,288010445,2025-09-01
288002621,16-1_상행_1109자,27578,93,288010726,288010445,2025-09-01
288002622,16-1_하행_1109자,27771,93,288010445,288010624,2025-09-01
288002633,16번_상행,23952,88,288010726,288010445,2025-09-01
288002634,180829_16하_정류장추가,24071,85,288010445,288010624,2025-09-01
288002638,100번_하행,13666,72,288010440,288000498,2025-09-01
288002658,521_상행_,36687,73,288001156,288001438,2025-09-01
288002664,,45203,151,288001438,214015723,2025-09-01
288002675,180427_850 상행,11099,57,288010385,288001479,2025-09-01
288002676,120번_상행_0527,34657,155,288010726,288000326,2025-09-01
288002681,0813_352번상_0813 노선개편,16230,74,288010167,288010271,2025-09-01
288002683,352번_하행_1106,17733,76,288000390,288010168,2025-09-01
288002688,350번_하행_1106,17023,70,288010070,288010168,2025-09-01
288002695,70번_상행,23702,61,288000828,285010152,2025-09-01
288002698,,32107,72,288001616,288000829,2025-09-01
288002701,41-1번_하행_승강장이전(10310),17383,95,288010512,288010624,2025-09-01
288002702,0328_58 신휴3리정류장제거,14145,52,288001014,288001155,2025-09-01
288002703,180517_50번 하행,8804,34,288001014,288001155,2025-09-01
288002726,70번_상행,23702,61,288000828,285010152,2025-09-01
288002727,180517_41번 하행,19360,97,288010323,288010624,2025-09-01
288002729,180517_41번 하행,20447,97,288010323,288010624,2025-09-01
288002730,08114_41상_0817 노선개편,20319,98,288010726,288010323,2025-09-01
288002742,46번_상행_0420,22722,118,288010726,288010400,2025-09-01
288002743,46-1번_상행_승강장이전(10310),22722,116,288010726,288010400,2025-09-01
288002744,42-2번_하행_신규노선,13092,62,288010066,288010400,2025-09-01
288002753,43-1번_상행,20303,106,288010726,288010673,2025-09-01
288002758,46-1번_상행_승강장이전(10310),22722,116,288010726,288010400,2025-09-01
288002759,46번_하행_승강장이전(10310),22159,114,288010401,288010624,2025-09-01
288002782,순환5번_상행_0313,23259,67,288001673,288010797,2025-09-01
288002801,900번_상행,20190,111,288010726,285010125,2025-09-01
288002802,910번_상행,21547,152,288010726,285010125,2025-09-01
288002834,821번_하행,24151,110,288001673,288010624,2025-09-01
288002835,180517_41번 하행,21615,97,288010323,288010624,2025-09-01
288002836,53-1번_하행_0710,21932,60,288001156,288001979,2025-09-01
288002844,08114_700하_0817 노선개편,27870,148,288010009,288000498,2025-09-01
288002845,08114_701하_0817 노선개편,30009,154,288010009,288000498,2025-09-01
288002846,08114_702하_0817 노선개편,28787,150,288010009,288000498,2025-09-01
288002848,08114_700하_0817 노선개편,27854,148,288010009,288000498,2025-09-01
288002854,,38975,80,288001947,288010639,2025-09-01
288002856,,45104,128,288010854,288001054,2025-09-01
288002857,180425_403 하행,18563,102,288000576,288000498,2025-09-01
288002861,180425_402 하행,23174,98,288010170,288010855,2025-09-01
288002864,180425_403 하행,18684,103,288000576,288010855,2025-09-01
288002865,180425_403 하행,19284,104,288000576,288010855,2025-09-01
288002867,180425_403 하행,19405,104,288000576,288010855,2025-09-01
288002870,821번_하행,24151,109,288001673,288010624,2025-09-01
288002871,,32517,127,288001074,288010739,2025-09-01
288002872,,45104,128,288010854,288001054,2025-09-01
288002874,,44837,127,288010854,288001054,2025-09-01
288002875,,44837,127,288010854,288001054,2025-09-01
288002876,,32517,127,288001074,288010739,2025-09-01
288002877,,32517,127,288001074,288010739,2025-09-01
288002882,,29147,170,288000489,285010125,2025-09-01
288002067,41-1번_하행_신통1리추가,16382,93,288010512,288010624,2025-09-01
288002068,46번_상행_신통1리추가,22469,118,288010726,288010400,2025-09-01
288002069,46번_하행_신통1리추가,21611,114,288010401,288010624,2025-09-01
288002070,46-1번_상행_신통1리추가,22469,116,288010726,288010400,2025-09-01
288002071,47번_상행_신통1리추가,21569,120,288010726,288010308,2025-09-01
288002072,47번_하행_신통1리추가,20644,116,288010307,288010624,2025-09-01
288002073,41-1번_상행_승강장이전(10310),18789,98,288010726,288010512,2025-09-01
288002074,41-1번_하행_승강장이전(10310),16382,93,288010512,288010624,2025-09-01
288002075,46번_상행_승강장이전(10310),22469,118,288010726,288010400,2025-09-01
288002076,46번_하행_승강장이전(10310),21611,114,288010401,288010624,2025-09-01
288002077,46-1번_상행_승강장이전(10310),22469,116,288010726,288010400,2025-09-01
288002078,47번_상행_승강장이전(10310),21569,120,288010726,288010308,2025-09-01
288002079,47번_하행_승강장이전(10310),20644,114,288010307,288010624,2025-09-01
288002091,660번_상행_07월29일자,5986,33,288001496,288010725,2025-09-01
288002208,620번_상행,26284,61,288000729,288000285,2025-09-01
288002209,620번_하행,27121,89,288000286,288000732,2025-09-01
288002210,621번_상행,24840,76,288000729,288000305,2025-09-01
288002211,621번_하행,24570,27,288000306,288000732,2025-09-01
288002212,622번_상행,24102,72,288000729,288000296,2025-09-01
288002213,622번_하행,24486,86,288000283,288000732,2025-09-01
288002233,820번_상행,17029,91,288010726,288001632,2025-09-01
288002234,820번_하행,16780,90,288001673,288010624,2025-09-01
288002413,18-1번_하행,25617,89,288010445,288010624,2025-09-01
288002414,18-2번_상행,30851,120,288010726,288010603,2025-09-01
288002415,20번_상행,26507,112,288010726,288010445,2025-09-01
288002439,20-1번_하행,23373,98,288010793,288010624,2025-09-01
288002458,621번_하행,24981,86,288000306,288000732,2025-09-01
288002472,650번_하행,15957,64,288001721,288000498,2025-09-01
